ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T032366	15	98-B041	98	1998	6	SF	BER	1998-06-18	12	7493	1872	119	62	0.25	0.06	0.03	1	765	32	1	0.35632183908046	8	CentralValleywi	0.95041742	CentralValleyfa	0.04954906	CentralValleysp	3.352e-05	CentralValleywi--Sacramento_H	87	-35.661718	-4.23526	3e-04	15	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T032574	8	98-D382	98	1998	4	MO	MOR	1998-04-28	8	7951	1360	89	78	0.17	0.07	0.06	1	619	26	2	0.317647058823529	10	CentralValleyfa	0.97629027	CentralValleysp	0.02370667	DeschutesRfa	2.01e-06	CentralValleyfa--Feather_H_fa	85	-39.558581	-3.970799	3e-04	8	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T032765	19	98-E462	98	1998	7	MO	SCR	1998-07-18	14	3346	746	39	56	0.22	0.05	0.08	1	668	28	2	0.313953488372093	9	CentralValleyfa	0.99446125	CentralValleysp	0.00553875	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	86	-37.609588	-3.062479	0.0036	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T032906	7	98-G108	98	1998	4	MO	MON	1998-04-22	8	7951	1360	89	78	0.17	0.07	0.06	1	762	32	2	0.1875	15	CentralValleyfa	0.99027344	CentralValleysp	0.00972644	CaliforniaCoast	9e-08	CentralValleyfa--Feather_H_fa	80	-35.506608	-3.349384	0.0013	7	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T033186	11	98-K142	98	1998	5	SF	SAU	1998-05-22	10	3564	1167	78	74	0.33	0.07	0.06	1	622	27	2	0.352941176470588	10	CentralValleyfa	0.99658398	CentralValleysp	0.00341392	MidOregonCoast	2.09e-06	CentralValleyfa--Butte_Cr_fa	85	-40.75144	-4.713663	1e-04	11	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T033192	12	98-K153	98	1998	5	SF	SAU	1998-05-30	10	3564	1167	78	74	0.33	0.07	0.06	1	650	28	1	0.375	7	CentralValleyfa	0.99994733	MidOregonCoast	3.686e-05	CentralValleysp	1.58e-05	CentralValleyfa--Butte_Cr_fa	88	-39.689291	-3.575638	8e-04	12	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T033193	12	98-K154	98	1998	5	SF	SAU	1998-05-30	10	3564	1167	78	74	0.33	0.07	0.06	1	581	25	1	0.420454545454545	7	CentralValleyfa	0.99955374	MidOregonCoast	0.00042771	CentralValleysp	1.18e-05	CentralValleyfa--Butte_Cr_fa	88	-38.947272	-3.322302	0.002	12	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T033195	13	98-K156	98	1998	6	SF	SAU	1998-06-02	11	4769	1426	101	48	0.3	0.07	0.03	1	620	26	2	0.4625	15	CentralValleyfa	0.9991654	MidOregonCoast	0.00047385	NCaliforniaSOregonCoast	0.00035706	CentralValleyfa--Butte_Cr_fa	80	-37.355554	-4.169294	3e-04	13	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T033237	22	98-L251	98	1998	8	SF	SNF	1998-08-02	15	12500	3198	236	62	0.26	0.07	0.02	1	475	21	1	0.4375	15	CentralValleyfa	0.99693756	MidOregonCoast	0.00286507	NCaliforniaSOregonCoast	8.669e-05	CentralValleyfa--Butte_Cr_fa	80	-39.162641	-5.053952	0	22	8	August	30253	062546	1996	Fall	MERCED RIVER	MERCED R FISH F	H	1.02
T033242	23	98-L293	98	1998	8	SF	SNF	1998-08-15	15	12500	3198	236	62	0.26	0.07	0.02	1	555	24	1	0.432098765432099	14	CentralValleyfa	0.99928504	MidOregonCoast	0.00060299	CentralValleysp	7.263e-05	CentralValleyfa--Butte_Cr_fa	81	-41.55677	-6.197546	0	23	8	August	NA	NA	NA	NA	NA	NA	NA	NA
