ID	weeks	osp_id	yy	year	month	zone	port	date	sam_per	tot_catch	sampled	ad_clip	gsi_samp	samprate	ad_rate	gsi_rate	spp	fl_mm	tl_in	fishery	HZ	NumMiss	Max.RepU.1	Max.Prob.1	Max.RepU.2	Max.Prpb.2	Max.RepU.3	Max.Prob.3	AssignedTo	NumLoci	ObsLogL	zScore	FractionSimmedGreater	weeknum	monthnum	monthname	headtag	cwtcode	brdyr	runame	stockname	hatchery	reartype	prodfct
T040451	5	02-A020	2	2002	3	MO	SCR	2002-03-30	6	2779	616	0	95	0.22	0	0.15	1	728	30.9	2	0.420289855072464	26	CentralValleyfa	0.99890944	CentralValleysp	0.00109056	CentralValleywi	0	CentralValleyfa--Mill_Cr_fa	69	-23.845899	0.639342	0.729	5	3	March	NA	NA	NA	NA	NA	NA	NA	NA
T040528	12	02-AA004	2	2002	5	CR	CRL	2002-05-16	10	283	53	2	28	0.19	0.04	0.53	1	645	27.5	2	0.024390243902439	54	MidColumbiaRtule	0.32170051	CentralValleyfa	0.21884298	SnakeRfa	0.18016498	MidColumbiaRtule--Spring_Cr_H	41	-20.370491	-4.986193	1e-04	12	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040533	12	02-AA009	2	2002	5	CR	CRD	2002-05-18	10	283	53	2	28	0.19	0.04	0.53	1	805	34	2	0.157894736842105	0	MidColumbiaRtule	0.99999764	LColumbiaRfa	2.32e-06	LColumbiaRsp	3e-08	MidColumbiaRtule--Spring_Cr_H	95	-29.404609	0.541088	0.6935	12	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040641	19	02-DD044	2	2002	6	FB	SHC	2002-06-30	12	5712	1538	68	68	0.27	0.04	0.04	1	706	30	2	0.319444444444444	23	CentralValleyfa	0.99383068	CentralValleysp	0.00616931	DeschutesRfa	1e-08	CentralValleyfa--Mill_Cr_fa	72	-24.822039	0.549762	0.692	19	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T040648	19	02-DD052	2	2002	7	FB	SHC	2002-07-02	13	4074	1071	45	38	0.26	0.04	0.04	1	819	34.6	2	0.292307692307692	30	CentralValleyfa	0.99998371	CentralValleysp	1.629e-05	CentralValleywi	0	CentralValleyfa--Butte_Cr_fa	65	-20.714156	1.457321	0.9389	19	7	July	NA	NA	NA	NA	NA	NA	NA	NA
T040746	9	02-E069	2	2002	4	FB	FTB	2002-04-23	8	1745	436	18	69	0.25	0.04	0.16	1	760	32.2	2	0.234375	31	CentralValleyfa	0.99829734	CentralValleysp	0.0013103	MidOregonCoast	0.00039174	CentralValleyfa--Feather_H_sp	64	-25.755764	-1.436492	0.0822	9	4	April	NA	NA	NA	NA	NA	NA	NA	NA
T040777	10	02-E106	2	2002	5	FB	FTB	2002-05-02	9	1376	392	26	37	0.28	0.07	0.09	1	752	31.9	1	0.6875	15	MidOregonCoast	0.81794177	CaliforniaCoast	0.13706281	CentralValleyfa	0.02384915	MidOregonCoast--Umpqua_sp	80	-27.606759	1.049917	0.8594	10	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040801	14	02-E150	2	2002	5	FB	FTB	2002-05-26	10	2584	692	53	73	0.27	0.08	0.11	1	727	30.8	2	0.621951219512195	13	CentralValleyfa	0.99938405	CentralValleysp	0.00061593	LColumbiaRfa	1e-08	CentralValleyfa--Butte_Cr_fa	82	-25.360258	1.999351	0.9885	14	5	May	NA	NA	NA	NA	NA	NA	NA	NA
T040839	17	02-E235	2	2002	6	FB	FTB	2002-06-20	12	5712	1538	68	68	0.27	0.04	0.04	1	857	36.2	1	0.597402597402597	18	CentralValleyfa	0.99822006	CentralValleysp	0.00177993	CentralValleywi	0	CentralValleyfa--Mill_Cr_fa	77	-22.948728	2.791706	0.9991	17	6	June	NA	NA	NA	NA	NA	NA	NA	NA
T040851	19	02-E273	2	2002	6	FB	FTB	2002-06-30	12	5712	1538	68	68	0.27	0.04	0.04	1	752	31.9	1	0.616438356164384	22	CentralValleyfa	0.99722243	CentralValleysp	0.0027775	DeschutesRfa	6e-08	CentralValleyfa--Butte_Cr_fa	73	-25.486804	0.341191	0.6168	19	6	June	NA	NA	NA	NA	NA	NA	NA	NA
