ID,weeks,year,month,zone,port,date,ValueType,CentralValleysp,CentralValleyfa,CentralValleywi,CaliforniaCoast,KlamathR,NCaliforniaSOregonCoast,RogueR,MidOregonCoast,NOregonCoast,WillametteR,DeschutesRfa,LColumbiaRfa,LColumbiaRsp,MidColumbiaRtule,UColumbiaRsufa,MidandUpperColumbiaRsp,SnakeRfa,SnakeRspsu,WashingtonCoast,SPugetSound,NPugetSound,LFraserR,LThompsonR,EVancouverIs,WVancouverIs,LSkeenaR,MidSkeenaR,SSEAlaska,NGulfCoastAlsekR,NGulfCoastKarlukR,TakuR,NSEAlaskaChilkatR,NGulfCoastSitukR,CopperR,SusitnaR,LKuskokwimBristolBay,MidYukon,CohoSp
T032287,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,4.896e-05,0.99995104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032288,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,3.384e-05,0.99996059,0,0,0,0,0,2.1e-07,0,0,4.74e-06,0,0,0,3.5e-07,0,2.7e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032289,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,1.409e-05,0.99998591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032290,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,0,0,0,0,0.00018108,5.099e-05,0.92364956,0.07611538,1e-08,0,2.1e-07,0,1.3e-07,0,4e-08,0,2.58e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032291,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,6.9e-07,0.99999931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032292,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,0.00016933,0.99983067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032293,12,1998,5,EU,KGS,1998-05-24,Posterior.Mean,3.97e-06,0.99999603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032294,12,1998,5,EU,KGS,1998-05-27,Posterior.Mean,2.05e-06,0.99999795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032295,12,1998,5,EU,KGS,1998-05-27,Posterior.Mean,0.00279321,0.99720679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032296,12,1998,5,EU,KGS,1998-05-27,Posterior.Mean,0.01134621,0.98865379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032297,12,1998,5,EU,KGS,1998-05-27,Posterior.Mean,0.00020587,0.99979364,0,0,0,0,0,1e-08,0,0,4.7e-07,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032298,12,1998,5,EU,KGS,1998-05-27,Posterior.Mean,0.00057367,0.99942565,0,0,0,0,0,6e-08,0,0,4.6e-07,0,1.6e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032299,12,1998,5,EU,KGS,1998-05-27,Posterior.Mean,4.34e-06,0.99999566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032300,12,1998,5,EU,KGS,1998-05-28,Posterior.Mean,0,0,0,0,0.99999996,0,4e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032301,12,1998,5,EU,KGS,1998-05-28,Posterior.Mean,1.64e-06,0.99999836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032302,12,1998,5,EU,KGS,1998-05-28,Posterior.Mean,0.0002006,0.9997994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032303,12,1998,5,EU,KGS,1998-05-28,Posterior.Mean,0.00070394,0.99919448,0,0,0,0,0,3e-08,0,0,9.449e-05,2.7e-07,1e-08,0,6.43e-06,0,3.5e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032304,12,1998,5,EU,KGS,1998-05-29,Posterior.Mean,2.148e-05,0.99997852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032305,12,1998,5,EU,KGS,1998-05-29,Posterior.Mean,0.00038447,0.9996143,0,0,0,0,0,0,0,0,1.22e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032306,12,1998,5,EU,KGS,1998-05-29,Posterior.Mean,0,0,0,0,0.99999999,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032307,12,1998,5,EU,KGS,1998-05-29,Posterior.Mean,2.14e-06,0.99999785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032309,13,1998,5,EU,FLD,1998-05-31,Posterior.Mean,0.00781622,0.99218378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032310,13,1998,5,EU,FLD,1998-05-31,Posterior.Mean,0.00124648,0.99875343,0,0,0,0,0,0,0,0,9e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032311,13,1998,5,EU,FLD,1998-05-31,Posterior.Mean,9.8e-07,0.99999902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032312,13,1998,5,EU,FLD,1998-05-31,Posterior.Mean,0.00068326,0.99931674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032313,13,1998,5,EU,FLD,1998-05-31,Posterior.Mean,6.629e-05,0.9999336,0,1e-08,0,0,0,0,0,0,0,9e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032314,13,1998,6,EU,FLD,1998-06-02,Posterior.Mean,0.0001483,0.9998517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032315,13,1998,6,EU,FLD,1998-06-02,Posterior.Mean,0.00116234,0.99883765,0,0,0,0,0,0,0,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032316,13,1998,6,EU,FLD,1998-06-02,Posterior.Mean,5.7e-07,0.99999943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032317,13,1998,6,EU,FLD,1998-06-02,Posterior.Mean,6.342e-05,0.99993657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032318,13,1998,6,EU,FLD,1998-06-02,Posterior.Mean,0,0,0,0,0.99999999,0,1e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032319,13,1998,6,EU,FLD,1998-06-02,Posterior.Mean,0.00030538,0.99969462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032320,13,1998,6,EU,KGS,1998-06-04,Posterior.Mean,0.05681085,0.94318914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032321,13,1998,6,EU,KGS,1998-06-06,Posterior.Mean,6.6e-07,0.99999934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032322,14,1998,6,EU,KGS,1998-06-07,Posterior.Mean,7.533e-05,0.99992467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T032323,14,1998,6,EU,KGS,1998-06-07,Posterior.Mean,0.00039502,0.99960497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
